packageId,dateIssued,title,lastModified,detailsLink,pages,governmentAuthor1,category
CREC-2023-01-17,2023-01-17,"Congressional Record Volume 169, Issue 12, (January 17, 2023)",2023-01-18T10:58:47Z,https://www.govinfo.gov/app/details/CREC-2023-01-17,14,Congress,Proceedings of Congress and General Congressional Publications
CREC-2023-01-03-v168,2023-01-03,"Congressional Record Volume 168, Issue 204, (January 3, 2023)",2023-01-18T01:22:20Z,https://www.govinfo.gov/app/details/CREC-2023-01-03-v168,13,Congress,Proceedings of Congress and General Congressional Publications
CREC-2023-01-13,2023-01-13,"Congressional Record Volume 169, Issue 11, (January 13, 2023)",2023-01-14T08:13:11Z,https://www.govinfo.gov/app/details/CREC-2023-01-13,8,Congress,Proceedings of Congress and General Congressional Publications
CREC-2023-01-12,2023-01-12,"Congressional Record Volume 169, Issue 10, (January 12, 2023)",2023-01-13T09:41:15Z,https://www.govinfo.gov/app/details/CREC-2023-01-12,37,Congress,Proceedings of Congress and General Congressional Publications
CREC-2023-01-11,2023-01-11,"Congressional Record Volume 169, Issue 9, (January 11, 2023)",2023-01-12T12:09:17Z,https://www.govinfo.gov/app/details/CREC-2023-01-11,62,Congress,Proceedings of Congress and General Congressional Publications
CREC-2023-01-10,2023-01-10,"Congressional Record Volume 169, Issue 8, (January 10, 2023)",2023-01-12T09:40:23Z,https://www.govinfo.gov/app/details/CREC-2023-01-10,50,Congress,Proceedings of Congress and General Congressional Publications
CREC-2023-01-09,2023-01-09,"Congressional Record Volume 169, Issue 7, (January 9, 2023)",2023-01-11T04:01:01Z,https://www.govinfo.gov/app/details/CREC-2023-01-09,70,Congress,Proceedings of Congress and General Congressional Publications
CREC-2023-01-03-v169,2023-01-03,"Congressional Record Volume 169, Issue 1, (January 3, 2023)",2023-01-10T23:52:16Z,https://www.govinfo.gov/app/details/CREC-2023-01-03-v169,49,Congress,Proceedings of Congress and General Congressional Publications
CREC-2023-01-04-i3,2023-01-04,"Congressional Record Volume 169, Issue 3, (January 4, 2023)",2023-01-09T20:42:08Z,https://www.govinfo.gov/app/details/CREC-2023-01-04-i3,4,Congress,Proceedings of Congress and General Congressional Publications
CREC-2023-01-06-i6,2023-01-06,"Congressional Record Volume 169, Issue 6, (January 6, 2023)",2023-01-09T15:59:53Z,https://www.govinfo.gov/app/details/CREC-2023-01-06-i6,13,Congress,Proceedings of Congress and General Congressional Publications
